,sentence,class
0," is a species of tropical land snails with an operculum, terrestrial gastropod mollusks in",en
1, per convention at the time of sculpting) is a sculpture made of bronze copyrighted,en
2,in 1895 by American artist Frederic Remington. It portrays a rugged cowboy character fighting to,en
3,"stay aboard a rearing, plunging bronco, with a stirrup swinging free, a quirt in one",en
4,hand and a fistful of mane and reins in the other. It was the first,en
5," The sculpture was executed in the summer of 1895, and later that fall it",en
6,was copyrighted with the United States Copyright Office. He took his subject from a number,en
7," . Sculpting was a new medium for Remington at this time, and this new",en
8,method of portrayal was a total success in the eyes of his collectors and art,en
9,"historians. Breaking away from the restricted limits of flat paper, pen and ink and watercolor,",en
10,"Remington moved to the next level of his artistic potential, through the more effective medium",en
11,"of three-dimensional expressions. Remington, who always strove to capture the essence of the moment in",en
12,"his work, now found he was more able to effectively express that which he had",en
13,"  Only those who have ridden a bronco the first time it was saddled,",en
14,"or have lived through a railroad accident, can form any conception of the solemnity of",en
15," With this in mind, he decided to sculpt a bucking bronco for his first",en
16,"piece. Using techniques from his previous works to help focus the subject's figure, Remington removed",en
17,"the figure from its context and isolated it into a grounded free-floating form, thus achieving",en
18,a lifelike quality and vigorous movement. The artist's reference file for the sculpture included a,en
19," On September 13, 1898, at Camp Wickoff at Montauk Point, New York, the Rough",en
20," .  Of the gift Remington said it was ""the greatest compliment I ever",en
21,"had...After this everything will be mere fuss."" Roosevelt responded, ""There could have been no more",en
22,"appropriate gift from such a regiment.""  The cast which Theodore Roosevelt's Rough Riders gave",en
23," An original cast resided in the Oval Office, a gift of Virginia Hatfield and",en
24,"Mrs. Louis Hatfield Stickney, from Jimmy Carter's to Donald Trump's administrations. It was moved out",en
25," , 1907, is located along Kelly Drive (formerly known as East River Drive) in",en
26,"Fairmount Park, Philadelphia.  It is Remington's only commissioned sculpture and only monument, and a",en
27," In 2014, the Denver Art Museum made a bet with the Seattle Art Museum",en
28,"over the outcome of Super Bowl XLVIII, wherein the losing city's museum would temporarily loan",en
29," , a 1901 Japanese screen by artist Tsuji Kako.  As the Denver Broncos",en
30,"lost to the Seattle Seahawks, the bronze was shipped to Seattle where it was scheduled",en
31, refers to the members of the Maryland House of Delegates who reside in or,en
32,"represent legislative districts that include parts of Garrett, Allegany, Washington, Frederick or Carroll counties in",en
33,"the state of Maryland, United States of America. Three delegates are elected from each district,",en
34, (16 January 1936 – 15 September 2021) was a Cuban athlete. He competed in,en
35," , is an extinct species of katydid (family Tettigoniidae) that was endemic to California,",en
36, The Antioch Dunes shield-back katydid is an orthopteran within the family Tettigoniidae (katydids and,en
37,"long-horned grasshoppers). It is considered large for a katydid species. Like all orthopterans, it has",en
38,powerful hind legs that it uses for jumping and that help it to evade or,en
39,confuse predators. Both the fore and hind legs are covered in small spines. The pronotum,en
